stock_code,pre_close
600531,1095
603601,1039
603843,447
300980,2660
600696,329
688326,11054
600143,1790
688361,14734
301056,1114
002497,2259
603262,2749
300863,5001
688611,4821
003039,1397
300668,1994
001309,19125
301021,4160
688386,7001
600185,690
300846,1894
603355,2951
301227,4575
688370,2362
300726,4205
300660,4747
688173,1411
300819,2552
605389,6901
603256,3238
300159,324
300751,15388
300870,20612
603222,938
300252,1382
300547,3671
600346,1916
600547,3642
301068,2560
002811,1345
688035,4722
601899,3112
688767,3798
603499,1887
603283,4179
301326,10830
603150,3828
000977,6162
688347,10009
002975,7339
002050,4347
002436,1920
688308,2859
002796,2306
603061,13634
001360,2179
603166,1460
002748,1305
002759,3333
000825,497
603568,2381
301468,5363
300619,4318
920351,2341
603721,1801
000582,912
300576,3904
605058,2901
300115,3620
000973,1188
301042,8029
300223,9016
603175,6369
002902,2228
300568,1407
300147,921
002897,4580
688150,2540
300260,5272
603386,1518
688503,5677
600489,2287
002202,1620
002338,5708
688156,1591
688577,9135
603778,1260
300655,1669
000792,2703
002989,2887
300394,21403
600839,888
002938,4862
300045,2477
000546,748
688686,11259
002590,1432
603239,2016
688311,3964
603091,7573
300512,1074
688226,3784
301258,3205
920057,661
000700,1057
002738,6588
300837,3255
603650,4468
002984,2117
603990,1522
002040,1000
601138,5830
002156,3577
002600,1534
002478,805
688234,8297
301446,3131
603266,2146
002434,908
603663,3561
002031,733
300973,4125
001270,7068
300644,3259
301297,3617
605365,2601
300434,1073
000816,358
300827,3481
002579,1151
002396,2813
002484,2688
300007,4583
301312,4668
300835,6343
688027,48520
001337,2824
688300,5679
002208,1041
002752,703
301138,3642
300408,4303
300773,2228
000793,289
301031,10519
688689,2581
001267,2131
000688,2555
002371,44836
688057,1195
301510,3377
300083,932
300814,7340
603186,4124
002906,3047
002383,1052
688518,2242
600838,1109
920091,7522
301229,2011
688605,5789
603728,6212
600673,2147
688048,13600
301603,7110
002020,1966
002983,2202
920305,1012
301165,7881
688244,2310
000691,904
688559,4272
603655,3601
002837,9113
600988,3195
301526,642
688019,20460
920571,1005
688498,61704
603097,2636
605060,3526
300767,2048
688206,3378
002937,2099
300221,940
300992,2611
600498,2758
