stock_code,pre_close
002221,820
688562,2331
301045,2657
000539,442
920522,6095
002231,147
300437,1655
300427,1216
301055,1949
002349,725
000529,603
603043,1742
600251,919
600329,4617
600339,337
601633,2250
002298,1045
603616,512
603053,958
600241,824
605222,1829
601066,2671
603606,6147
002086,231
002867,1214
300690,3429
000590,1092
603408,1405
002877,930
300680,5626
000852,717
002096,1329
603418,5776
603325,7762
920931,1439
600137,1901
300824,1132
688190,9988
688809,22601
603335,561
601555,913
688819,3348
688180,3433
600127,673
300021,467
300834,2275
300159,315
002637,1042
300031,2284
920124,1834
002627,746
688659,945
300149,957
001270,8730
688721,4719
002883,1094
300674,2340
001308,2085
002062,929
001260,2007
002893,1117
002072,732
301206,2640
300664,535
301216,1697
000612,1109
600796,601
001318,1584
920407,2562
301018,6594
301160,6881
300512,953
002304,6119
600598,1509
000564,249
600588,1310
300502,44600
301008,3583
301170,2793
002314,283
920252,3101
300347,5663
002429,761
688212,4375
920242,2933
002551,364
300357,2820
002439,1410
688202,5706
002541,1584
603856,1244
600521,1721
600459,1884
603733,2402
688586,1281
688596,3051
600531,1193
002490,689
603987,862
600449,1233
300286,2304
603997,1394
002480,614
603166,1606
300296,627
603176,526
603378,676
301592,12135
601518,281
300098,611
600012,1469
300879,3053
000977,6756
603200,7128
300901,1625
300911,3354
603368,1771
300088,602
000967,736
300869,1504
603210,1955
002942,1928
688798,7567
600657,344
002952,1955
601225,2156
688788,6656
605003,3232
688682,5185
688692,25815
002858,1497
002920,12214
002848,855
600635,673
002930,1101
920876,2531
300963,2099
301488,16239
600108,321
000915,3300
300182,543
603262,2822
600060,2430
920087,1606
301498,6616
300973,4270
920866,816
000905,1386
600881,186
300192,2171
600118,8632
603272,1828
920299,2050
600316,3415
600543,531
605365,2584
603629,2696
603639,1262
601059,1773
601121,739
605589,2862
688308,3226
920230,1216
003039,1448
688270,12100
002533,1254
300335,567
605599,1596
003029,2655
688318,13423
601969,1184
688260,2997
300570,12000
603690,2977
002523,429
601188,349
000506,1320
601811,1337
688425,513
600482,2080
300408,4628
301102,1040
603680,1587
920475,1750
002366,737
601801,649
300560,1624
301112,3935
300418,4018
